Job Number,Borough Name,Count Permits,First Permit Date,Current Date,Age,Permit Expiration Date,Sidewalk Shed/Linear Feet,Construction Material,Current Job Status,BIN Number,Community Board,Latitude Point,Longitude Point,House Number,Street Name,Borough Digit,Block,Lot,Applicant Business Name,ProCert,Source,activity,Commercial
M00841970-I1,MANHATTAN,,2023-03-10,2024-02-25,351,2025-01-10,190.0,,Permit Entire,1033689,107,40.79318,-73.97174,203,WEST   94 STREET,1,1242,128,ARQUITECTURA VARELA,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
M00841998-I1,MANHATTAN,,2023-03-13,2024-02-25,348,2024-03-13,141.0,,Permit Entire,1033809,107,40.78717,-73.98045,324,WEST   83 STREET,1,1245,37,ENTHINK ENGINEERING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
M00842005-I1,MANHATTAN,,2023-03-17,2024-02-25,344,2024-03-17,91.0,,Permit Entire,1087590,105,40.74666,-73.99141,121,WEST   28 STREET,1,804,24,ENTHINK ENGINEERING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
M00842007-I1,MANHATTAN,,2023-03-13,2024-02-25,348,2024-03-13,395.0,,Permit Entire,1064069,112,40.85932,-73.92691,99,HILLSIDE AVENUE,1,2170,140,INDRAJEET VAGHA  P.E.  P.C.,1,DOB NOW,Local Law 11,Other Zoning Districts
M00842153-I1,MANHATTAN,,2023-03-30,2024-02-25,331,2024-03-30,228.0,,Permit Entire,1015181,105,40.74859,-73.98986,116,WEST   32 STREET,1,807,28,PR,1,DOB NOW,Local Law 11,Commercial District/Overlay
M00842171-I1,MANHATTAN,,2023-03-14,2024-02-25,347,2024-09-30,498.0,,Permit Entire,1000007,101,40.70278,-74.01072,25,WATER STREET,1,5,10,BRAND ACCESS SOLUTIONS,1,DOB NOW,Local Law 11,Commercial District/Overlay
M00842194-I1,MANHATTAN,,2023-03-23,2024-02-25,338,2024-03-23,130.0,,Permit Entire,1024644,105,40.7553,-73.98862,215,WEST   40 STREET,1,1012,23,KZ ENGINEERING  PC,1,DOB NOW,Local Law 11,Other Zoning Districts
M00842323-I1,MANHATTAN,,2023-04-12,2024-02-25,318,2024-04-12,477.0,,Permit Entire,1046913,108,40.78219,-73.95929,1060,5 AVENUE,1,1499,1,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts
M00842495-I1,MANHATTAN,,2023-04-19,2024-02-25,311,2024-04-19,60.0,,Permit Entire,1016077,105,40.73664,-73.99199,16,EAST   16 STREET,1,843,39,ASHRAF CORP,0,DOB NOW,Construction or Maintenance,Commercial District/Overlay
M00842699-I1,MANHATTAN,,2023-03-17,2024-02-25,344,2024-03-09,36.5,,Permit Entire,1008469,102,40.72743,-73.99464,678,BROADWAY,1,530,5,PINTO ENGINEERING CONSULTANT  DPC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
M00842713-I1,MANHATTAN,,2023-03-14,2024-02-25,347,2024-08-04,33.0,,Permit Entire,1077703,103,40.72908,-73.98464,165,1 AVENUE,1,452,36,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
M00842715-I1,MANHATTAN,,2023-03-14,2024-02-25,347,2024-08-04,33.0,,Permit Entire,1006454,103,40.72913,-73.9846,167,1 AVENUE,1,452,35,ASR ENGINEERING PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
M00842986-I1,MANHATTAN,,2023-03-14,2024-02-25,347,2024-03-14,85.0,,Permit Entire,1049810,108,40.77396,-73.95383,305,EAST   80 STREET,1,1543,5,ENTHINK ENGINEERING LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
M00843059-I1,MANHATTAN,,2023-03-24,2024-02-25,337,2024-08-31,168.0,,Permit Entire,1089165,112,40.84221,-73.9381,563,WEST  170 STREET,1,2127,26,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
M00843106-I1,MANHATTAN,,2023-03-15,2024-02-25,346,2024-03-15,40.0,,Permit Entire,1017221,105,40.75021,-73.98152,244,MADISON AVENUE,1,867,57,ENTHINK ENGINEERING LLC,1,DOB NOW,Local Law 11,Commercial District/Overlay
M00843385-I1,MANHATTAN,,2023-03-24,2024-02-25,337,2024-03-24,188.0,,Permit Entire,1040554,106,40.75847,-73.96198,410,EAST   58 STREET,1,1369,42,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts
M00843390-I1,MANHATTAN,,2023-04-25,2024-02-25,305,2024-04-25,268.0,,Permit Entire,1008215,102,40.72542,-73.9954,316,LAFAYETTE STREET,1,522,24,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
M00843491-I1,MANHATTAN,,2023-04-17,2024-02-25,313,2024-04-17,295.0,,Permit Entire,1087604,112,40.86758,-73.91705,3966,10 AVENUE,1,2229,25,TOHFAZ UDDIN PE PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
M00843619-I1,MANHATTAN,,2023-03-29,2024-02-25,332,2024-03-29,67.0,,Permit Entire,1002121,101,40.72023,-74.00935,61,NORTH MOORE STREET,1,188,7504,ASHRAF CORP,1,DOB NOW,Local Law 11,Commercial District/Overlay
M00844225-I1,MANHATTAN,,2023-04-17,2024-02-25,313,2024-03-20,174.0,,Permit Entire,1007385,102,40.72536,-74.00491,155,6 AVENUE,1,491,46,URBAN INTEGRATIONS,1,DOB NOW,Local Law 11,Other Zoning Districts
M00844610-I1,MANHATTAN,,2023-03-17,2024-02-25,344,2024-03-17,116.0,,Permit Entire,1040003,106,40.75877,-73.96329,345,EAST   57 STREET,1,1350,20,PR,1,DOB NOW,Local Law 11,Commercial District/Overlay
M00844738-I1,MANHATTAN,,2023-03-28,2024-02-25,333,2024-03-17,634.0,,Permit Entire,1086256,101,40.70736,-74.0082,10,LIBERTY STREET,1,42,22,PR,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
M00844854-I1,MANHATTAN,,2023-03-17,2024-02-25,344,2024-08-04,85.0,,Permit Entire,1087063,102,40.72474,-73.99989,109,GREENE STREET,1,500,7506,ASR ENGINEERING PC,1,DOB NOW,Local Law 11,Other Zoning Districts
M00844859-I1,MANHATTAN,,2023-05-09,2024-02-25,291,2024-04-01,237.0,,Permit Entire,1002128,101,40.71937,-74.00727,140,FRANKLIN STREET,1,189,7507,ENTHINK ENGINEERING LLC,0,DOB NOW,Local Law 11,Commercial District/Overlay
M00845259-I1,MANHATTAN,,2023-03-21,2024-02-25,340,2024-05-14,29.0,,Permit Entire,1042496,108,40.76821,-73.96237,167,EAST   69 STREET,1,1404,32,URBAN INTEGRATIONS,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
M00845536-I1,MANHATTAN,,2023-03-23,2024-02-25,338,2024-03-23,150.0,,Permit Entire,1041659,108,40.77276,-73.96299,800,PARK AVENUE,1,1389,36,MOHAMMAD AHEAD  PE,1,DOB NOW,Local Law 11,Other Zoning Districts
M00845625-I1,MANHATTAN,,2023-05-18,2024-02-25,282,2024-05-18,264.0,,Permit Entire,1061438,109,40.82625,-73.94542,400,CONVENT AVENUE,1,2062,14,ENTHINK ENGINEERING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
M00845667-I1,MANHATTAN,,2023-08-01,2024-02-25,207,2024-05-26,52.0,,Permit Entire,1005706,103,40.72197,-73.99284,227,BOWERY,1,426,8,PR,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
M00845760-I1,MANHATTAN,,2023-03-21,2024-02-25,340,2024-03-21,105.0,,Permit Entire,1028241,107,40.77366,-73.97921,15,WEST   67 STREET,1,1120,22,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts
M00845800-I1,MANHATTAN,,2023-03-17,2024-02-25,344,2024-03-17,300.0,,Permit Entire,1046258,108,40.76556,-73.95219,537,EAST   71 STREET,1,1483,23,PLAN B ENGINEERING,1,DOB NOW,Local Law 11,Other Zoning Districts
M00845944-I1,MANHATTAN,,2023-03-20,2024-02-25,341,2024-03-20,410.0,,Permit Entire,1075623,103,40.72297,-73.97874,732,EAST    6 STREET,1,375,1,AP PROFESSIONAL ENGINEERING PLLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
M00846236-I1,MANHATTAN,,2023-03-28,2024-02-25,333,2024-03-28,657.0,,Permit Entire,1049251,108,40.77289,-73.95288,333,EAST   79 STREET,1,1542,19,ENTHINK ENGINEERING LLC,1,DOB NOW,Local Law 11,Commercial District/Overlay
M00846258-I1,MANHATTAN,,2023-05-31,2024-02-25,269,2024-04-14,47.0,,Permit Entire,1053651,110,40.80885,-73.94267,38,WEST  128 STREET,1,1725,55,ENTHINK ENGINEERING LLC,0,DOB NOW,Local Law 11,Other Zoning Districts
M00846432-I1,MANHATTAN,,2023-03-21,2024-02-25,340,2024-05-26,286.0,,Permit Entire,1030988,107,40.7804,-73.98443,277,WEST END AVENUE,1,1184,19,PR,1,DOB NOW,Local Law 11,Other Zoning Districts
