Account.Id,EVT,FT,NA,NULL,PT,TotalComplaints
18780,0,16,2,0,0,18
20717,0,1,0,0,0,1
13896,0,1,0,0,0,1
20848,0,1,0,0,0,1
15314,0,1,0,0,0,1
41398,0,1,0,0,0,1
19597,0,2,0,0,0,2
17077,0,1,0,0,0,1
35427,0,18,0,0,0,18
20861,0,4,0,0,0,4
15317,0,2,0,0,0,2
44812,0,12,0,0,0,12
20054,0,1,0,0,0,1
14449,0,0,2,0,0,2
20335,0,2,0,0,0,2
20868,0,1,0,0,0,1
35546,0,10,0,0,0,10
20904,0,1,1,0,0,2
20337,0,1,0,0,0,1
45456,0,1,0,0,0,1
35562,0,2,0,0,0,2
45555,0,1,0,0,0,1
20345,0,2,0,0,0,2
45618,0,4,0,0,0,4
35596,0,12,0,0,0,12
20923,0,3,0,0,0,3
20347,0,1,0,0,0,1
45778,0,14,1,0,0,15
20351,0,2,0,0,0,2
45780,0,10,0,0,0,10
35681,0,2,0,0,0,2
45783,0,4,0,0,0,4
20484,0,6,0,0,0,6
45785,0,8,0,0,0,8
35697,0,7,0,0,0,7
14531,0,3,1,0,0,4
35703,0,2,0,0,0,2
46033,0,0,2,0,6,8
20556,0,3,0,0,0,3
20955,0,1,0,0,0,1
16641,0,0,2,0,0,2
21006,0,1,0,0,0,1
35749,0,1,0,0,0,1
21031,0,4,0,0,0,4
35775,0,32,0,0,0,32
46299,0,2,0,0,0,2
20571,0,28,6,0,0,34
21392,0,4,0,0,0,4
35902,0,42,0,0,0,42
21394,0,10,3,0,0,13
20584,0,2,0,0,0,2
46426,0,2,0,0,0,2
20586,0,5,0,0,0,5
21398,0,12,0,0,0,12
36501,0,1,0,0,0,1
46684,0,1,0,0,0,1
36607,0,0,1,0,0,1
21399,0,4,0,0,0,4
36612,0,18,0,0,0,18
46697,0,2,0,0,0,2
36628,0,3,0,0,0,3
46700,0,4,0,0,0,4
36629,0,1,1,0,0,2
46704,0,3,0,0,0,3
20588,0,2,0,0,1,3
46707,0,1,0,0,0,1
17067,0,3,0,0,0,3
46776,0,1,0,0,0,1
36756,0,3,0,0,0,3
46853,0,5,0,0,0,5
36779,0,2,0,0,0,2
21409,0,4,0,0,0,4
20618,0,1,0,0,0,1
46934,0,18,8,0,0,26
33829,0,4,1,0,0,5
46968,0,3,0,0,0,3
33830,0,1,0,0,0,1
47255,0,34,8,0,42,84
33833,0,2,0,0,0,2
33839,0,3,0,0,0,3
